nsites,nclusts,sg,ss,se,variable,value
25.0,2.0,0.5,0.25,0.25,GCTA,0.693723
25.0,2.0,0.5,0.25,0.25,GCTA,0.692322
25.0,2.0,0.5,0.25,0.25,GCTA,0.659592
25.0,2.0,0.5,0.25,0.25,GCTA,0.7215739999999999
25.0,2.0,0.5,0.25,0.25,GCTA,0.658388
25.0,2.0,0.5,0.25,0.25,GCTA,0.702609
25.0,2.0,0.5,0.25,0.25,GCTA,0.729662
,,,,,GCTA,0.662396
,,,,,GCTA,0.663204
,,,,,GCTA,0.6528609999999999
,,,,,GCTA,0.655367
,,,,,GCTA,0.657496
,,,,,GCTA,0.6386350000000001
,,,,,GCTA,0.669427
,,,,,GCTA,0.663508
,,,,,GCTA,0.672718
,,,,,GCTA,0.6457
,,,,,GCTA,0.650556
,,,,,GCTA,0.66493
,,,,,GCTA,0.662876
,,,,,GCTA,0.670085
,,,,,GCTA,0.673273
,,,,,GCTA,0.680342
,,,,,GCTA,0.6658850000000001
,,,,,GCTA,0.6541859999999999
,,,,,GCTA,0.688872
,,,,,GCTA,0.659565
25.0,1.0,0.5,0.25,0.25,GCTA,0.673437
25.0,1.0,0.5,0.25,0.25,GCTA,0.66994
25.0,1.0,0.5,0.25,0.25,GCTA,0.681136
25.0,1.0,0.5,0.25,0.25,GCTA,0.667319
25.0,1.0,0.5,0.25,0.25,GCTA,0.653542
25.0,1.0,0.5,0.25,0.25,GCTA,0.666546
25.0,1.0,0.5,0.25,0.25,GCTA,0.663082
25.0,1.0,0.5,0.25,0.25,GCTA,0.653597
25.0,1.0,0.5,0.25,0.25,GCTA,0.656328
25.0,1.0,0.5,0.25,0.25,GCTA,0.649334
,,,,,GCTA,0.65659
,,,,,GCTA,0.66992
,,,,,GCTA,0.660565
,,,,,GCTA,0.658139
,,,,,GCTA,0.658013
,,,,,GCTA,0.67702
,,,,,GCTA,0.661593
,,,,,GCTA,0.6449010000000001
,,,,,GCTA,0.667407
,,,,,GCTA,0.664521
,,,,,GCTA,0.714896
,,,,,GCTA,0.712212
,,,,,GCTA,0.69396
,,,,,GCTA,0.6892
,,,,,GCTA,0.7126560000000001
,,,,,GCTA,0.719249
,,,,,GCTA,0.6794819999999999
,,,,,GCTA,0.7160850000000001
,,,,,GCTA,0.706505
,,,,,GCTA,0.726941
25.0,1.0,0.5,0.25,0.25,GCTA,0.7146640000000001
25.0,1.0,0.5,0.25,0.25,GCTA,0.6893640000000001
25.0,1.0,0.5,0.25,0.25,GCTA,0.738174
25.0,1.0,0.5,0.25,0.25,GCTA,0.697171
25.0,1.0,0.5,0.25,0.25,GCTA,0.721476
25.0,1.0,0.5,0.25,0.25,GCTA,0.6899810000000001
25.0,1.0,0.5,0.25,0.25,GCTA,0.694416
25.0,1.0,0.5,0.25,0.25,GCTA,0.682106
25.0,1.0,0.5,0.25,0.25,GCTA,0.727073
25.0,1.0,0.5,0.25,0.25,GCTA,0.712842
,,,,,GCTA,0.682992
,,,,,GCTA,0.664888
,,,,,GCTA,0.701715
,,,,,GCTA,0.696052
,,,,,GCTA,0.7041069999999999
,,,,,GCTA,0.6831189999999999
,,,,,GCTA,0.697911
